Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
ycdX	b1034	zinc-binding phosphatase YcdX	bacterial-type flagellum-dependent swarming motility	cytosol	phosphatase activity // hydrolase activity // catalytic activity // metal ion binding // identical protein binding // protein binding // phosphoric ester hydrolase activity // zinc ion binding	P75914	
ghrA	b1033	glyoxylate/hydroxypyruvate reductase A	cellular response to stress	cytoplasm // cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // glycerate dehydrogenase activity // NAD binding // oxidoreductase activity // hydroxypyruvate reductase activity // glyoxylate reductase (NADP+) activity	P75913	ycdW
serX	b1032	tRNA-Ser(GGA)		cytosol // cytoplasm	triplet codon-amino acid adaptor activity		
ycdU	b1029	uncharacterized protein YcdU		membrane // plasma membrane		P75910	
ymdE	b1028	putative uncharacterized protein YmdE		cytosol	transferase activity	Q7DFV4	
insE4	b1027	IS3 element protein InsE	DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	P0CF69	
insF4	b1026	IS3 element protein InsF	transposition // DNA integration // DNA recombination		DNA binding // nucleic acid binding	P0CF82	tra5-3
dgcT	b1025	probable diguanylate cyclase DgcT	single-species submerged biofilm formation	membrane // plasma membrane	transferase activity // metal ion binding // GTP binding // nucleotide binding // diguanylate cyclase activity	P75908	ycdT
pgaA	b1024	partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine export outer membrane porin	transmembrane transport // single-species biofilm formation // polysaccharide transport	membrane // cell outer membrane	poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity // polysaccharide transmembrane transporter activity	P69434	hmsH // ycdS
pgaB	b1023	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase	cell adhesion involved in biofilm formation // carbohydrate metabolic process // single-species biofilm formation // macromolecule deacylation	outer membrane-bounded periplasmic space // cell outer membrane // membrane	hydrolase activity // hydrolase activity, hydrolyzing O-glycosyl compounds // protein binding // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	P75906	hmsF // ycdR
pgaC	b1022	poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaC	cell adhesion involved in biofilm formation	membrane // plasma membrane	protein binding // glycosyltransferase activity // transferase activity // acetylglucosaminyltransferase activity	P75905	hmsR // ycdQ
pgaD	b1021	poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaD	cell adhesion involved in single-species biofilm formation // cell adhesion involved in biofilm formation	membrane // plasma membrane	protein binding	P69432	hmsS // ycdP
phoH	b1020	ATP-binding protein PhoH		cytoplasm // cytosol	nucleotide binding // ATP binding	P0A9K1	psiH
efeB	b1019	heme-containing peroxidase/deferrochelatase	DNA damage response // cellular oxidant detoxification // iron import into cell	periplasmic space // outer membrane-bounded periplasmic space // cytosol	ferrochelatase activity // lyase activity // oxidoreductase activity // heme binding // metal ion binding // peroxidase activity	P31545	ycdB
efeO	b1018	ferrous iron transport system protein EfeO	response to UV // response to toxic substance // response to oxidative stress // response to antibiotic	periplasmic space // outer membrane-bounded periplasmic space		P0AB24	ycdO
putP	b1015	proline:Na<sup>+</sup> symporter	nitrogen compound transport // carboxylic acid transport // proline transmembrane transport // amino acid transmembrane transport // organic acid transmembrane transport // amino acid transport // transmembrane transport // sodium ion transport // monoatomic ion transport // short-chain fatty acid transport // proline transport	membrane // plasma membrane	L-proline transmembrane transporter activity // transmembrane transporter activity // symporter activity // sodium ion binding // proline:sodium symporter activity	P07117	putC
putA	b1014	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	proline catabolic process // metabolic process // proline metabolic process // proline biosynthetic process // regulation of DNA-templated transcription // response to oxidative stress // negative regulation of DNA-templated transcription // proline catabolic process to glutamate	plasma membrane // cytosol // cytoplasmic side of plasma membrane	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor // identical protein binding // oxidoreductase activity // catalytic activity // DNA-binding transcription factor activity // sequence-specific DNA binding // protein homodimerization activity // DNA-binding transcription repressor activity // cis-regulatory region sequence-specific DNA binding // flavin adenine dinucleotide binding // DNA binding // 1-pyrroline-5-carboxylate dehydrogenase activity // proline dehydrogenase activity	P09546	putC // poaA
rutR	b1013	DNA-binding transcriptional dual regulator RutR	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // positive regulation of DNA-templated transcription	cytosol	transcription cis-regulatory region binding // protein binding // DNA binding // DNA-binding transcription factor activity	P0ACU2	ycdC
rutA	b1012	pyrimidine monooxygenase RutA	alkanesulfonate catabolic process // thymine catabolic process // uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	alkanesulfonate monooxygenase activity // oxidoreductase activity // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen // monooxygenase activity // uracil oxygenase activity	P75898	ycdM
rutB	b1011	ureidoacrylate amidohydrolase	uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	P75897	ycdL
rutC	b1010	3-aminoacrylate deaminase	organonitrogen compound catabolic process // uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds // hydrolase activity // identical protein binding // deaminase activity	P0AFQ5	ycdK
rutD	b1009	putative aminoacrylate hydrolase RutD	uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides // hydrolase activity // protein homodimerization activity	P75895	ycdJ
rutE	b1008	putative malonic semialdehyde reductase	DNA damage response // uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization		oxidoreductase activity // FMN binding // 3-hydroxypropionate dehydrogenase (NADP+) activity	P75894	ycdI
rutF	b1007	FMN reductase RutF	uracil catabolic process // pyrimidine nucleobase catabolic process // nitrogen utilization	cytosol	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor // oxidoreductase activity // FMN binding // FMN reductase (NAD(P)H) activity // riboflavin reductase (NADPH) activity // FMN reductase (NADH) activity	P75893	ycdH
rutG	b1006	pyrimidine:H<sup>+</sup> symporter	transmembrane transport // pyrimidine nucleotide transport // pyrimidine nucleobase transmembrane transport // uracil import across plasma membrane // uracil catabolic process	membrane // plasma membrane	xanthine transmembrane transporter activity // nucleobase transmembrane transporter activity // pyrimidine nucleotide transmembrane transporter activity // transmembrane transporter activity // symporter activity // pyrimidine nucleobase transmembrane transporter activity // uracil:monoatomic cation symporter activity // uracil transmembrane transporter activity	P75892	ycdG
ycdF	b1005						
wrbA	b1004	NAD(P)H:quinone oxidoreductase	response to oxidative stress	membrane // protein-containing complex // cytosol	NADH dehydrogenase (quinone) activity // NADPH dehydrogenase (quinone) activity // NAD binding // NADP binding // flavin adenine dinucleotide binding // oxidoreductase activity // nucleotide binding // identical protein binding // NAD(P)H dehydrogenase (quinone) activity // FMN binding	P0A8G6	
yccJ	b1003	PF13993 family protein YccJ		cytosol		P0AB14	
agp	b1002	glucose-1-phosphatase	dephosphorylation // glucose catabolic process	periplasmic space // outer membrane-bounded periplasmic space	sugar-phosphatase activity // hydrolase activity // protein homodimerization activity // glucose-1-phosphatase activity // 3-phytase activity	P19926	
yccE	b1001	uncharacterized protein YccE		cytosol		P36661	
cbpA	b1000	curved DNA-binding protein	protein folding // protein refolding // chaperone cofactor-dependent protein refolding	cytoplasm // nucleoid // bacterial nucleoid // cytosol	unfolded protein binding // identical protein binding // bent DNA binding // DNA binding // protein binding	P36659	
cbpM	b0999	chaperone modulator CbpM		cytosol	enzyme inhibitor activity // protein binding	P63264	yccD
torD	b0998	trimethylamine-N-oxide reductase-specific chaperone	protein complex oligomerization // protein folding // protein maturation	cytoplasm // cytosol	identical protein binding // protein binding // molybdopterin cofactor binding // peptide binding	P36662	
torA	b0997	trimethylamine <i>N</i>-oxide reductase 1	regulation of pH // anaerobic electron transport chain // aerobic respiration // anaerobic respiration	trimethylamine-N-oxide reductase (cytochrome c) complex // periplasmic space // outer membrane-bounded periplasmic space	trimethylamine-N-oxide reductase activity // molybdenum ion binding // metal ion binding // protein binding // oxidoreductase activity // molybdopterin cofactor binding // electron transfer activity // trimethylamine-N-oxide reductase (cytochrome c) activity	P33225	
torC	b0996	cytochrome <i>c</i> menaquinol dehydrogenase TorC	regulation of pH // negative regulation of signal transduction // anaerobic electron transport chain // aerobic respiration // anaerobic respiration	trimethylamine-N-oxide reductase (cytochrome c) complex // Gram-negative-bacterium-type cell wall // outer membrane-bounded periplasmic space // membrane // plasma membrane	iron ion binding // metal ion binding // protein binding // heme binding // electron transfer activity	P33226	
torR	b0995	DNA-binding transcriptional dual regulator TorR	phosphorelay signal transduction system // regulation of DNA-templated transcription	protein-DNA complex // cytoplasm // cytosol	transcription cis-regulatory region binding // DNA binding // phosphorelay response regulator activity	P38684	
torT	b0994	TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein	regulation of DNA-templated transcription // anaerobic respiration	periplasmic space // outer membrane-bounded periplasmic space	DNA-binding transcription factor activity // transcription cis-regulatory region binding	P38683	yccH
torS	b0993	sensor histidine kinase TorS	phosphorylation // signal transduction // protein dephosphorylation // protein autophosphorylation // cellular response to organic substance // anaerobic respiration // phosphorelay signal transduction system	membrane // outer membrane-bounded periplasmic space // plasma membrane	histidine phosphotransfer kinase activity // identical protein binding // transferase activity // kinase activity // protein histidine kinase activity // protein binding // nucleotide binding // transferase activity, transferring phosphorus-containing groups // ATP binding // protein homodimerization activity // phosphoprotein phosphatase activity // phosphorelay sensor kinase activity	P39453	yccI
